[910, 0.5]
[1000, 0.5]
[837, 0.5]
[1000, 0.5]
Gen 45: Best Score = 0.1382, Params = [920, 0.54]
[912, 0.5]
[1000, 0.5]
[975, 0.5]
[837, 0.6050000000000001]
[829, 0.5]
[912, 0.5]
[910, 0.5]
[920, 0.5]
[903, 0.5]
[910, 0.5]
[920, 0.5]
[920, 0.5]
[920, 0.5]
[837, 0.55]
[903, 0.55]
[920, 0.54]
[920, 0.5]
[903, 0.5]
[903, 0.5]
[910, 0.5]
Gen 46: Best Score = 0.1095, Params = [903, 0.5]
[903, 0.5]
[993, 0.5]
[920, 0.5]
[975, 0.5]
[837, 0.5]
[912, 0.5]
[837, 0.54]
[829, 0.5]
[912, 0.5]
[1000, 0.5]
[903, 0.54]
[903, 0.55]
[912, 0.5]
[920, 0.54]
[920, 0.54]
[920, 0.54]
[903, 0.55]
[912, 0.54]
[994, 0.5]
[912, 0.5]
Gen 47: Best Score = 0.1417, Params = [903, 0.5940000000000001]
[912, 0.55]
[829, 0.5]
[903, 0.5]
[1000, 0.5]
[912, 0.5]
[903, 0.55]
[1000, 0.5]
[1000, 0.54]
[920, 0.5]
[903, 0.5940000000000001]
[887, 0.5]
[903, 0.5]
[1000, 0.5]
[920, 0.5]
[1000, 0.5]
[821, 0.5]
[903, 0.5]
[912, 0.5]
[900, 0.55]
[1000, 0.5]
Gen 48: Best Score = 0.1219, Params = [1000, 0.5]
[1000, 0.5]
[920, 0.55]
[1000, 0.5]
[903, 0.5]
[912, 0.55]
[912, 0.55]
[920, 0.5]
[912, 0.55]
[1000, 0.5]
[920, 0.5]
[1000, 0.5]
[1000, 0.5]
[903, 0.5]
[1000, 0.5]
[912, 0.55]
[900, 0.55]
[900, 0.55]
[828, 0.5]
[900, 0.55]
[920, 0.55]
Gen 49: Best Score = 0.1238, Params = [1000, 0.5]
