Random seed: 42
[312, 0.8910000000000001]
[196, 0.9900000000000001]
[308, 0.9]
[308, 0.8910000000000001]
[308, 0.9]
[215, 0.7290000000000001]
[196, 0.9900000000000001]
[312, 0.9]
[196, 0.81]
[381, 0.8910000000000001]
Gen 28: Best Score = 0.0327, Params = [312, 0.9]
[280, 0.9]
[176, 0.9900000000000001]
[284, 0.7290000000000001]
[305, 0.7290000000000001]
[176, 0.9]
[312, 0.9]
[158, 0.9]
[308, 0.81]
[312, 0.9]
[312, 0.7217100000000002]
[215, 1.0]
[277, 0.9]
[381, 0.9]
[193, 0.7290000000000001]
[176, 0.9]
[308, 0.7290000000000001]
[308, 0.9]
[280, 0.8019000000000002]
[308, 0.81]
[312, 0.9]
[312, 0.8910000000000001]
[312, 0.9]
[339, 0.7290000000000001]
[196, 0.8910000000000001]
[338, 1.0]
[308, 0.8910000000000001]
[308, 0.9]
[312, 0.9]
[312, 0.9]
[312, 0.8019000000000002]
Gen 29: Best Score = 0.0513, Params = [312, 0.81]
[312, 0.9]
[312, 0.8019000000000002]
[280, 0.7290000000000001]
[371, 1.0]
[312, 1.0]
[308, 0.9]
[312, 0.9]
[142, 0.9]
[305, 0.7290000000000001]
[312, 0.81]
[280, 0.9]
[215, 0.8910000000000001]
[308, 0.7217100000000002]
[312, 0.7217100000000002]
[312, 0.9]
[308, 0.9]
[158, 0.9]
[312, 0.9]
[312, 1.0]
[312, 0.9]
[308, 0.8910000000000001]
[312, 0.9]
[277, 1.0]
[280, 0.8019000000000002]
[236, 1.0]
[339, 0.7290000000000001]
[312, 0.8019000000000002]
[308, 0.8910000000000001]
[308, 0.81]
[308, 1.0]
Gen 30: Best Score = 0.0466, Params = [236, 1.0]
[280, 0.9]
[308, 0.81]
[312, 0.9]
[338, 0.9]
[312, 0.7290000000000001]
[308, 0.8910000000000001]
[158, 0.9]
[277, 1.0]
[343, 0.7217100000000002]
[236, 1.0]
[305, 1.0]
[280, 0.81]
[308, 0.81]
[236, 0.81]
[312, 0.9]
[158, 0.81]
[249, 1.0]
[236, 0.9]
[280, 0.9]
[236, 1.0]
[312, 1.0]
[236, 0.9900000000000001]
[343, 0.9900000000000001]
[312, 0.9]
[308, 0.9]
[312, 0.7217100000000002]
[308, 0.8019000000000002]
[312, 0.81]
[338, 0.8019000000000002]
[312, 1.0]
Gen 31: Best Score = 0.0440, Params = [158, 0.7290000000000001]
[312, 0.9]
[312, 0.81]
[280, 0.9]
[308, 0.9900000000000001]
[158, 0.7290000000000001]
[308, 0.81]
[236, 0.9900000000000001]
[305, 1.0]
[312, 0.81]
[236, 0.8910000000000001]
[338, 0.81]
[312, 0.81]
[252, 0.9900000000000001]
[280, 0.9]
[308, 0.81]
[312, 1.0]
[280, 0.81]
[305, 1.0]
[158, 0.81]
[312, 1.0]
[338, 1.0]
[338, 0.81]
[158, 0.8910000000000001]
[305, 0.9]
[312, 1.0]
[312, 1.0]
[280, 0.9]
[236, 0.81]
[312, 0.7290000000000001]
[312, 0.9]
Gen 32: Best Score = 0.0802, Params = [308, 0.9]
[280, 0.9]
[280, 0.81]
[280, 0.9]
[280, 0.9]
[252, 0.81]
[280, 1.0]
[236, 0.9900000000000001]
[312, 0.81]
[312, 1.0]
[312, 0.8019000000000002]
[305, 0.9900000000000001]
[305, 0.9900000000000001]
[252, 0.9]
[280, 0.81]
[280, 0.9]
[158, 0.9]
[338, 0.81]
[338, 0.81]
[158, 0.8910000000000001]
[338, 0.81]
[236, 0.8910000000000001]
[305, 1.0]
[308, 0.81]
[343, 0.9]
[308, 0.81]
[252, 0.9900000000000001]
[308, 0.9]
[142, 1.0]
[338, 0.7290000000000001]
[312, 0.81]
Gen 33: Best Score = 0.0635, Params = [312, 0.9]
[371, 1.0]
[305, 1.0]
[312, 0.81]
